#             z_(m)            V_(m/s)              T_(K)        rho_(kg/m3)               Y_CO              Y_CO2             Y_C2H2                S_0                S_1 
   0.0000000000e+00   7.0808005131e-02   2.9800000000e+02   1.1650032607e+00   2.5169216090e-02   3.6615369110e-03   1.2843644085e-03   6.9436827950e-01  -3.8187557517e-22
   1.8750000000e-04   1.0343829480e-01   4.3079205882e+02   8.0300174964e-01   3.6806869567e-02   5.8549569511e-03   2.0125358461e-03  -2.2890684870e+04  -2.5370096634e-22
   3.7500000000e-04   1.4044027373e-01   5.7871235294e+02   5.9547075280e-01   5.0875152168e-02   8.6888471886e-03   2.9385153232e-03   9.5995420070e+05   1.9879359993e-18
   4.6875000000e-04   1.6048950171e-01   6.5750868421e+02   5.2298937575e-01   5.9507490243e-02   1.0509787618e-02   3.5270087463e-03   3.7147307305e+07   7.4180099515e-17
   5.6250000000e-04   1.8178612199e-01   7.4041142857e+02   4.6341561671e-01   6.8954448214e-02   1.2568106812e-02   4.1871516866e-03   1.2587454498e+09   2.5111796130e-15
   6.5625000000e-04   2.0386298988e-01   8.2542500000e+02   4.1475945554e-01   7.9250806711e-02   1.4880042778e-02   4.9238749482e-03   2.2781568361e+10   4.5456922485e-14
   7.0312500000e-04   2.1524525867e-01   8.6884055556e+02   3.9357789749e-01   8.4867784076e-02   1.6168801507e-02   5.3337598047e-03   5.9430533011e+10   1.1859177832e-13
   7.5000000000e-04   2.2698974528e-01   9.1342500000e+02   3.7393208274e-01   9.0707026612e-02   1.7527872713e-02   5.7668467453e-03   1.7697578042e+11   3.5319160007e-13
   7.9687500000e-04   2.3875003710e-01   9.5777312500e+02   3.5620191941e-01   9.6756113780e-02   1.8953650498e-02   6.2253560848e-03   5.1192818543e+11   1.0216888479e-12
   8.4375000000e-04   2.5064557074e-01   1.0023660000e+03   3.3995788144e-01   1.0297903017e-01   2.0435073373e-02   6.7126735355e-03   1.3853973727e+12   2.7639836407e-12
   8.9062500000e-04   2.6277593727e-01   1.0476107500e+03   3.2489642890e-01   1.0930982753e-01   2.1952302236e-02   7.2342573863e-03   3.5106272277e+12   6.9957022136e-12
   9.3750000000e-04   2.7490869089e-01   1.0926034000e+03   3.1115694156e-01   1.1565607442e-01   2.3479447059e-02   7.7985128119e-03   8.3066864368e+12   1.6509327589e-11
   9.8437500000e-04   2.8719570408e-01   1.1379936413e+03   2.9840639850e-01   1.2189393896e-01   2.4985555160e-02   8.4156871791e-03   1.8542445202e+13   3.6672822639e-11
   1.0312500000e-03   2.9832770496e-01   1.1786537500e+03   2.8779362032e-01   1.2790637620e-01   2.6444450133e-02   9.0995534725e-03   3.7989334595e+13   7.4633036883e-11
   1.0781250000e-03   3.0998047968e-01   1.2213006250e+03   2.7745078532e-01   1.3354471616e-01   2.7824743366e-02   9.8593568428e-03   7.4314298502e+13   1.4462676011e-10
   1.1250000000e-03   3.2078141720e-01   1.2605866667e+03   2.6853708625e-01   1.3870620556e-01   2.9107242207e-02   1.0702817467e-02   1.3724370636e+14   2.6427051988e-10
   1.2187500000e-03   3.4097408634e-01   1.3339312500e+03   2.5333020046e-01   1.4727469270e-01   3.1315466129e-02   1.2609496700e-02   4.6372225546e+14   8.6949487319e-10
   1.3125000000e-03   3.5824022970e-01   1.3963962500e+03   2.4165560294e-01   1.5367389801e-01   3.3116352508e-02   1.4714872823e-02   1.1210523952e+15   2.1340676370e-09
   1.4062500000e-03   3.7214857775e-01   1.4464531250e+03   2.3303600246e-01   1.5828967104e-01   3.4595050163e-02   1.6820726116e-02   2.1746427319e+15   4.4843691091e-09
   1.5000000000e-03   3.8249978149e-01   1.4833466667e+03   2.2705308674e-01   1.6159862788e-01   3.5837728897e-02   1.8762787191e-02   3.5281404981e+15   8.5298380886e-09
   1.6875000000e-03   3.9682492676e-01   1.5342445000e+03   2.1931247615e-01   1.6545806972e-01   3.7793984118e-02   2.1893637681e-02   6.4485066668e+15   3.1095393376e-08
   1.8750000000e-03   4.0602802283e-01   1.5668350000e+03   2.1466327892e-01   1.6759385875e-01   3.9355836485e-02   2.4079307610e-02   8.8099617635e+15   8.9035233906e-08
   2.2500000000e-03   4.1600701001e-01   1.6023500000e+03   2.0992138774e-01   1.6928155211e-01   4.1686387573e-02   2.6362245124e-02   1.1532930891e+16   7.6660108490e-07
   3.0000000000e-03   4.2401352202e-01   1.6314700000e+03   2.0639110531e-01   1.6972257476e-01   4.4737048704e-02   2.7682797499e-02   1.3656000435e+16   1.3906888243e-05
   3.7500000000e-03   4.2668022817e-01   1.6412800000e+03   2.0537112378e-01   1.6947210800e-01   4.6832961211e-02   2.8038732819e-02   1.4398988505e+16   4.8879596241e-05
   4.5000000000e-03   4.2730162089e-01   1.6435522222e+03   2.0526707766e-01   1.6908880276e-01   4.8374319581e-02   2.8138216475e-02   1.4608423929e+16   1.1416441216e-04
   6.0000000000e-03   4.2584049571e-01   1.6379400000e+03   2.0623440197e-01   1.6835444589e-01   5.0417393023e-02   2.8143061764e-02   1.4380795363e+16   4.3835785460e-04
   9.0000000000e-03   4.1836422132e-01   1.6093623077e+03   2.1021035267e-01   1.6735848454e-01   5.2655582299e-02   2.8054941665e-02   1.3025088649e+16   2.0825418431e-03
   1.2000000000e-02   4.0829809247e-01   1.5708933333e+03   2.1554528819e-01   1.6674076233e-01   5.3922992755e-02   2.7937274446e-02   1.1305626529e+16   4.3779757062e-03
   1.5000000000e-02   3.9704502590e-01   1.5278700000e+03   2.2172786988e-01   1.6636854174e-01   5.4649841117e-02   2.7791359116e-02   9.5541878631e+15   6.9553194466e-03
   1.8000000000e-02   3.8591679376e-01   1.4853166667e+03   2.2815033850e-01   1.6614552541e-01   5.5072854871e-02   2.7621976913e-02   7.9991724077e+15   9.5545387158e-03
   2.1000000000e-02   3.7494942045e-01   1.4433550000e+03   2.3482776738e-01   1.6601289550e-01   5.5320080040e-02   2.7437557044e-02   6.6418345087e+15   1.2016306342e-02
   2.5500000000e-02   3.5959693806e-01   1.3845400000e+03   2.4483909106e-01   1.6591983363e-01   5.5491310874e-02   2.7173849518e-02   5.0211381574e+15   1.5155294975e-02
   3.0000000000e-02   3.4442132081e-01   1.3261100000e+03   2.5562699560e-01   1.6591983363e-01   5.5491310874e-02   2.7173849518e-02   5.2423755378e+15   1.5823055482e-02
